City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
32,san quintin,30.4833,-115.95,12.4,71,35,4.59,MX,1677897327
33,bluff,-46.6,168.3333,13.78,66,84,6.43,NZ,1677896993
34,tymovskoye,50.8456,142.655,-5.55,73,86,3.16,RU,1677897328
35,hambantota,6.1241,81.1185,26.19,94,40,4.12,LK,1677897329
36,muros,42.7762,-9.0603,5.47,78,1,3.59,ES,1677897066
37,tessalit,20.1986,1.0114,20.83,12,4,2.51,ML,1677897329
38,dingle,10.9995,122.6711,27.55,71,97,6.05,PH,1677897007
39,huaicheng,23.9051,112.1931,23.74,37,4,0.49,CN,1677897330
40,hobart,-42.8794,147.3294,21.26,55,75,4.12,AU,1677896984
41,margate,51.3813,1.3862,5.5,74,100,3.58,GB,1677897331
42,kohtla-jarve,59.3986,27.2731,-2.22,95,49,2.21,EE,1677897332
